"","AKT1","AKT2","AKT3","PIK3CA","PIK3CB","PIK3CD","PIK3R1","PIK3R2","FOXO1A","FOXO3A","MLLT7","PIK3CG","PDPK1","IRS1","SRC","GAB1","PTEN","IGF1R","PDGFRA","PDGFRB","EGFR","ERBB2","ERBB3","FGFR1","FGFR2","MET","NRAS","HRAS","KRAS","ARAF","BRAF","RAF1","GRB2","NF1","CBL","SPRY2","CDKN2A","CDKN2C","CDKN2B","CCND1","CCND2","CDK4","CDK6","RB1","MDM2","MDM4","TP53","PIK3C2B"
"TCGA-06-0139",6.48443842376734,4.12181030319346,3.86936283890287,6.29429513255903,4.76829943811283,5.58807352051259,7.81851635404778,4.80188810841697,7.38214759281647,5.98007767617926,4.67670326312223,4.9730929828308,5.55107149611119,6.28868403987377,4.47044514306125,4.44546061129716,6.22264767014695,5.69319957993375,7.7523304159768,7.04011159284079,4.99501223221312,4.90489733914958,5.06812370125628,5.41050530932506,5.14305773926805,5.27761176978354,7.8982069535774,5.8907747022643,8.80018304006594,7.00156350666856,4.61243276671495,7.84687529666515,9.77527540138775,5.15337189015185,4.48787952318197,7.80625194433178,5.06054636215308,6.77560395162713,4.03128137090723,5.63137591553519,5.62447576754096,9.12156023399537,4.05163628935272,7.01308613637206,4.65483419355617,3.71617525424651,5.52782142988083,6.22890527542954
"TCGA-06-0141",6.96257736591503,3.96062207457064,4.38984333861352,6.0341939499631,4.79539217427382,5.3109223973738,8.75308481352107,4.78586469678795,7.60784985827188,6.0125582189659,5.11486260573911,4.59841399213728,5.88970336174698,5.71460953771637,4.73070717721916,4.5590305470628,6.14887607210836,5.78458512650536,7.20833454267843,7.06490620420643,5.99877625453014,4.70706439118819,7.19418348064838,5.43533923744661,5.05461789668307,5.35814719348149,7.07300904457876,6.70595283021602,8.9031400802498,6.4542778288486,4.30557612216441,7.89876964635423,8.78473627509748,4.86495906528063,4.36623962685537,9.00639919195678,4.77933532762626,7.36050433161211,4.07435611176331,5.29794716124189,5.73903055599093,9.12681410438707,4.02695259461547,6.5729129769398,4.73315624437966,3.65322044366325,5.43163315558663,6.75436029813141
"TCGA-06-0143",7.39728619819469,4.11483862358961,3.92362263484148,6.29028383192624,4.72544354460525,5.28204841909851,6.28766264516199,4.94705935912161,6.61760433378337,6.53879530124992,5.10549981741349,4.28055769498911,5.92278871603959,5.43763411046595,4.79633890575088,5.10581469725653,5.2980562730583,6.29459550994299,8.38824962700425,6.9553050059307,9.17548285105485,5.10949146275313,7.90201134670778,6.22763048455296,4.71332116701508,5.1354055618203,6.6576916677621,6.59763193307463,8.78889413355266,6.30680433289185,4.42234944107311,8.19799038059086,8.52302730501168,5.32370104048387,4.37591202701551,9.06818439863687,4.55635086818421,7.61164915538272,4.01959938114692,7.5455435706774,7.8826589999358,9.24040995215839,4.10989105643412,6.16052898321953,4.58737523316806,6.72252864564331,5.75494559291155,9.99018292557754
"TCGA-06-0145",7.51396272326212,4.36029671849135,4.36861703534059,5.86898264685141,4.76576540903364,4.88089820989322,8.12097113692007,5.36865123609345,7.10790423071955,5.89154811606829,4.74210723816668,4.3110189371302,5.73142935814362,6.23421627414583,4.56501963718595,5.36466596926228,5.11763120066808,6.30814523375366,6.13528619926175,6.85639641552177,9.6222400608283,5.45739119776027,4.0559493841979,5.84929592883645,5.18351688962968,4.64879188741654,7.61098224450729,7.02499515722552,8.95921451762655,7.02035388604867,4.35158273705683,8.0988357636531,8.14484066261486,5.50740165589471,4.41502654045791,9.71826256502011,4.7163168918318,8.07866831933188,4.27055617763002,5.38165586360629,7.44506013036782,11.879137103164,4.05434764468804,6.35983432062558,4.36553615884733,4.06296036221194,6.27779321440552,6.62619224057821
"TCGA-06-0147",7.94642711082014,4.16302463335293,3.7942614641494,6.29673602561878,4.54298861830423,5.85162743636733,7.96272914977021,4.82536585305061,7.1891261308619,6.17945189006387,5.03700159618628,4.57138544975227,6.05153987732643,5.71891932617375,4.67906650332744,4.33609612236317,6.21401623277135,6.32783918877493,6.69889178500465,7.80572527715228,4.84056031405922,4.94459893861934,5.67956267566066,5.70943031043078,5.23889814264498,5.3194346695339,7.0641648232678,6.51141776420939,8.71916516658912,6.74656536965135,4.63430378567972,8.17310599917323,9.62391876508218,5.10972307161762,4.30215387678263,8.50440198366492,6.92044908581674,6.6022327488181,4.15479370058506,6.67367753351024,6.93825149995335,9.43951362245695,4.01526190492405,6.3547415724987,4.46659940591067,3.6832588319547,5.99116413187954,6.64173282984062
"TCGA-06-0155",6.59628361029013,4.13717377969297,3.95773848473252,6.11718856710971,4.36687232041941,4.94380924717445,8.4705274369682,4.60210551767671,7.46768452390935,6.4999884223035,4.85336076925473,4.29561733435244,5.99046427814939,5.84609444184967,4.48416279075175,4.33453558522628,6.16473218651446,6.38126608566805,8.88690704194687,8.4069621974891,7.11447916122602,4.6056093906879,4.16881563088969,6.4845121792469,4.45738989749163,4.63827990326488,6.57950849493972,6.8659225816515,8.38951830396263,6.10262307931202,4.27907577556317,7.46250139891051,8.38778096285512,4.93328831842259,4.21641905530354,10.4917859527404,4.57754799718611,7.45130293781794,4.64642456131253,6.41420443281635,7.73370283623201,9.46966938853604,4.4698170474583,6.53524143583944,4.5630213153545,3.86001270716654,5.56558255260661,6.16355033229759
"TCGA-06-0169",6.68650159581289,4.09156258040919,4.12076706036224,5.13833149202479,4.67927927690785,4.93737849011432,7.431879614693,4.6922380124326,6.88167738471697,5.76364943498175,4.83193267651187,4.36026278880826,5.41273651524251,4.72893294072315,4.63078347448716,4.88938549958154,5.01917533344185,5.40340542152848,4.84121525213391,6.74175673681801,8.11718650576308,5.32231933675972,4.27263063918906,5.6561527069245,4.69447426195237,4.79596175372328,7.0009648439311,6.07789794275995,7.92126256229238,6.56321210226333,4.55838392584748,6.78902084421841,7.99633297299071,5.17917212339536,4.21818066487672,8.91904242922525,4.68687919997716,7.50469038385647,4.55034825158508,4.91424350702601,6.95370979485247,9.5870836651368,4.23964543294945,6.36377744640662,4.44088601834785,3.89001901942637,5.76828661453792,5.93839733913137
"TCGA-06-1086",6.24065538612148,4.13746384211622,4.39949098846638,5.91733957065468,4.69733582544493,4.85044926191086,8.83916456650721,4.82526995801215,7.28568427811386,6.7142286403366,4.78743013208747,4.14538505894728,6.58140104857685,8.45980042737412,4.69852610834123,4.8301031604419,6.30855304097774,6.93277848297565,8.80677625638408,8.35930827907265,6.43000161347528,5.15013819864322,3.89308605287924,6.52837040530024,5.06053168470396,4.53073934824033,5.60623101232769,5.8369724232371,8.76384280096515,6.87099818221679,4.49566768416977,8.10145638081498,7.26023631681446,5.07704501130931,4.41921389449522,6.62358805471999,4.54315598915204,7.69897071492058,3.95855050298918,9.83616306891224,5.48725872842435,9.606167743692,4.3292688689685,6.24174957749572,4.71613295991783,3.71696950823649,5.83612626928874,6.63281064665556
"TCGA-06-1087",7.427602111684,4.13025176963266,4.37284885681752,7.04267502012292,4.89630921187209,4.79480690499717,7.4976533034558,5.18137961986316,7.31113228264104,6.83912543998643,4.65716861179297,4.04604853988237,6.02034705756231,7.39932956346102,4.99402828691557,4.70574838345136,4.19824463656919,6.51326050298745,7.31165339802694,8.0067566581531,4.69509338772315,4.51471092435649,4.18552078473486,5.41789164996276,4.57941964321288,4.57099489282898,6.83338958252024,8.26490098672334,9.50618540664121,6.08390679796596,4.86900279751995,8.37481118609888,8.29673560558955,5.16415243148916,4.28706640349915,5.80175512356533,6.80590678951579,9.89893705560296,4.10520437525765,4.71019811570789,4.66716082177254,10.2909623879008,3.91957214328177,5.9881583401075,4.84631246185304,3.88470303780062,5.64559906818697,6.90784741902601
"TCGA-06-1800",7.39143017815285,3.98999244038191,4.21171172803451,7.33060181422663,4.38885002009241,5.08370703531371,8.31406401632288,4.91761218498072,6.630195901401,6.53771452891771,4.79955613762019,4.45621853433642,5.71993522323861,6.7855527427392,4.65592165019212,5.44933469547878,5.95767756272096,6.14692085322109,7.84423040873212,8.57446718436523,5.16206442743993,5.13025082681797,9.33640603863394,5.87479312811302,5.44474762374322,5.07836974778615,7.1322772409257,6.92817252884746,8.63925723329858,6.93359584402663,4.65334073110024,8.08108207523678,8.31212916719684,5.29631327433408,4.07232465215083,6.28943990201869,6.42950022122045,8.20962455722833,4.27530554438753,5.15545397402215,7.98822726499918,10.1837239638673,3.94226535227492,5.90472740498438,4.58640047604949,3.81096037806317,6.31332565506701,6.35190247682528
